placeid;nominatimstring;countryid;name;lat;lng
zurich;zurich;che;Zurich;47.3786;8.54
buenosaires;buenos aires;arg;Buenos Aires;-34.5997;-58.3819
marrakesh;marrakesh;mar;Marrakesh;31.6295;-7.9811
sanfrancisco;san francisco;usa;San Francisco;37.7562;-122.443
tashkent;tashkent;uzb;Tashkent;41.3;69.2667
bradford;bradford;gbr;Bradford;53.8;-1.75
boston;Boston;usa;Boston;42.3188;-71.0846
shahalam;shah alam;mys;Shah Alam;3.0833;101.5333
glasgow;glasgow city;gbr;Glasgow;55.8609;-4.2514
mumbai;mumbai;ind;Mumbai;18.9667;72.8333
milan;milan;ita;Milan;45.4669;9.19
montreal;montreal (06);can;Montreal;45.5089;-73.5617
paris;Paris, France;fra;Paris;48.8566;2.3522
barcelona;Barcelona, Barcelonès, Barcelona, Catalonia, 08001, Spain;esp;Barcelona;41.3825;2.1769
detroit;detroit;usa;Detroit;42.3834;-83.1024
sheffield;sheffield;gbr;Sheffield;53.3833;-1.4667
stuttgart;stuttgart;deu;Stuttgart;48.7761;9.1775
philadelphia;philadelphia;usa;Philadelphia;40.0077;-75.1339
amsterdam;amsterdam;nld;Amsterdam;52.35;4.9166
ulaanbaatar;ulaanbaatar;mng;Ulan Baatar;47.9203;106.9172
birmingham;birmingham;gbr;Birmingham;52.48;-1.9025
oslo;oslo;nor;Oslo;59.9111;10.7528
leeds;leeds;gbr;Leeds;53.7997;-1.5492
edinburgh;city of edinburgh;gbr;Edinburgh;55.953;-3.189
chicago;chicago;usa;Chicago;41.8373;-87.6862
hongkong;Hong Kong Special Administrative Region;hkg;Hong Kong;22.305;114.185
budapest;Budapest, Hungary;hun;Budapest;47.4983;19.0408
cologne;cologne;ger;Cologne;50.9422;6.9578
singapore;singapore;sgp;Singapore;1.3;103.8
vienna;vienna, austria;aut;Vienna;48.2083;16.3731
warsaw;warsaw;pol;Warsaw;52.2167;21.0333
moscow;moscow;rus;Moscow;55.7558;37.6178
toronto;toronto;can;Toronto;43.7417;-79.3733
munich;munich;ger;Munich;48.1372;11.5755
bogota;bogota, colombia;col;Bogota;4.6126;-74.0705
helsinki;helsinki;fin;Helsinki;60.1756;24.9342
rome;Rome, Roma Capitale, Italy;ita;Rome;41.8931;12.4828
phoenix;phoenix;usa;Phoenix;33.5722;-112.0891
hamburg;hamburg;ger;Hamburg;53.55;10.0
houston;houston;usa;Houston;29.7863;-95.3889
berlin;Berlin, Germany;deu;Berlin;52.5167;13.3833
losangeles;los angeles;usa;Los Angeles;34.1139;-118.4068
mexico;mexico city;mex;Mexico City;19.4333;-99.1333
karachi;karachi;pak;Karachi;24.86;67.01
manchestergreater;greater manchester;gbr;Greater Manchester;53.4794;-2.2453
jakarta;jakarta;idn;Jakarta;-6.2146;106.8451
saopaulo;sao paolo;bra;Sao Paolo;-23.5504;-46.6339
tokyo;tokyo;jpn;Tokyo;35.6897;139.6922
london;greater london;gbr;London;51.5072;-0.1275
